--- Call started: 2025-10-05T21:42:38.615Z ---
Call ID: CA901a8e59abf1b87307aea1c30d84f9a2
Phone: unknown
---

[2025-10-05T21:42:46.683Z] Event: media
[2025-10-05T21:42:46.703Z] Event: media
[2025-10-05T21:42:46.723Z] Event: media
[2025-10-05T21:42:46.743Z] Event: media
[2025-10-05T21:42:46.763Z] Event: media
[2025-10-05T21:42:46.783Z] Event: media
[2025-10-05T21:42:46.803Z] Event: media
[2025-10-05T21:42:46.823Z] Event: media
[2025-10-05T21:42:46.843Z] Event: media
[2025-10-05T21:42:46.863Z] Event: media
[2025-10-05T21:42:46.883Z] Event: media
[2025-10-05T21:42:46.903Z] Event: media
[2025-10-05T21:42:46.923Z] Event: media
[2025-10-05T21:42:46.945Z] Event: media
[2025-10-05T21:42:46.963Z] Event: media
[2025-10-05T21:42:46.985Z] Event: media
[2025-10-05T21:42:47.006Z] Event: media
[2025-10-05T21:42:47.023Z] Event: media
[2025-10-05T21:42:47.043Z] Event: media
[2025-10-05T21:42:47.063Z] Event: media
[2025-10-05T21:42:47.084Z] Event: media
[2025-10-05T21:42:47.103Z] Event: media
[2025-10-05T21:42:47.123Z] Event: media
[2025-10-05T21:42:47.143Z] Event: media
[2025-10-05T21:42:47.163Z] Event: media
[2025-10-05T21:42:47.184Z] Event: media
[2025-10-05T21:42:47.203Z] Event: media
[2025-10-05T21:42:47.223Z] Event: media
[2025-10-05T21:42:47.243Z] Event: media
[2025-10-05T21:42:47.263Z] Event: media
[2025-10-05T21:42:47.285Z] Event: media
[2025-10-05T21:42:47.303Z] Event: media
[2025-10-05T21:42:47.328Z] Event: media
[2025-10-05T21:42:47.343Z] Event: media
[2025-10-05T21:42:47.363Z] Event: media
[2025-10-05T21:42:47.383Z] Event: media
[2025-10-05T21:42:47.404Z] Event: media
[2025-10-05T21:42:47.423Z] Event: media
[2025-10-05T21:42:47.443Z] Event: media
[2025-10-05T21:42:47.463Z] Event: media
[2025-10-05T21:42:47.483Z] Event: media
[2025-10-05T21:42:47.503Z] Event: media
[2025-10-05T21:42:47.523Z] Event: media
[2025-10-05T21:42:47.543Z] Event: media
[2025-10-05T21:42:47.563Z] Event: media
[2025-10-05T21:42:47.583Z] Event: media
[2025-10-05T21:42:47.603Z] Event: media
[2025-10-05T21:42:47.623Z] Event: media
[2025-10-05T21:42:47.643Z] Event: media
[2025-10-05T21:42:47.663Z] Event: media
[2025-10-05T21:42:47.683Z] Event: media
[2025-10-05T21:42:47.703Z] Event: media
[2025-10-05T21:42:47.723Z] Event: media
[2025-10-05T21:42:47.743Z] Event: media
[2025-10-05T21:42:47.763Z] Event: media
[2025-10-05T21:42:47.783Z] Event: media
[2025-10-05T21:42:47.803Z] Event: media
[2025-10-05T21:42:47.823Z] Event: media
[2025-10-05T21:42:47.845Z] Event: media
[2025-10-05T21:42:47.863Z] Event: media
[2025-10-05T21:42:47.883Z] Event: media
[2025-10-05T21:42:47.903Z] Event: media
[2025-10-05T21:42:47.923Z] Event: media
[2025-10-05T21:42:47.943Z] Event: media
[2025-10-05T21:42:47.963Z] Event: media
[2025-10-05T21:42:47.983Z] Event: media
[2025-10-05T21:42:48.003Z] Event: media
[2025-10-05T21:42:48.023Z] Event: media
[2025-10-05T21:42:48.043Z] Event: media
[2025-10-05T21:42:48.066Z] Event: media
[2025-10-05T21:42:48.083Z] Event: media
[2025-10-05T21:42:48.104Z] Event: media
[2025-10-05T21:42:48.123Z] Event: media
[2025-10-05T21:42:48.143Z] Event: media
[2025-10-05T21:42:48.163Z] Event: media
[2025-10-05T21:42:48.183Z] Event: media
[2025-10-05T21:42:48.203Z] Event: media
[2025-10-05T21:42:48.223Z] Event: media
[2025-10-05T21:42:48.244Z] Event: media
[2025-10-05T21:42:48.263Z] Event: media
[2025-10-05T21:42:48.283Z] Event: media
[2025-10-05T21:42:48.303Z] Event: media
[2025-10-05T21:42:48.324Z] Event: media
[2025-10-05T21:42:48.343Z] Event: media
[2025-10-05T21:42:48.363Z] Event: media
[2025-10-05T21:42:48.383Z] Event: media
[2025-10-05T21:42:48.403Z] Event: media
[2025-10-05T21:42:48.423Z] Event: media
[2025-10-05T21:42:48.443Z] Event: media
[2025-10-05T21:42:48.463Z] Event: media
[2025-10-05T21:42:48.483Z] Event: media
[2025-10-05T21:42:48.503Z] Event: media
[2025-10-05T21:42:48.523Z] Event: media
[2025-10-05T21:42:48.543Z] Event: media
[2025-10-05T21:42:48.563Z] Event: media
[2025-10-05T21:42:48.583Z] Event: media
[2025-10-05T21:42:48.603Z] Event: media
[2025-10-05T21:42:48.623Z] Event: media
[2025-10-05T21:42:48.643Z] Event: media
[2025-10-05T21:42:48.663Z] Event: media
[2025-10-05T21:42:48.683Z] Event: media
[2025-10-05T21:42:48.703Z] Event: media
[2025-10-05T21:42:48.723Z] Event: media
[2025-10-05T21:42:48.743Z] Event: media
[2025-10-05T21:42:48.763Z] Event: media
[2025-10-05T21:42:48.783Z] Event: media
[2025-10-05T21:42:48.803Z] Event: media
[2025-10-05T21:42:48.823Z] Event: media
[2025-10-05T21:42:48.843Z] Event: media
[2025-10-05T21:42:48.863Z] Event: media
[2025-10-05T21:42:48.883Z] Event: media
[2025-10-05T21:42:48.903Z] Event: media
