--- Call started: 2025-10-05T22:26:39.003Z ---
Call ID: CA103e59a2720229134a97809bc5bad10c
Phone: unknown
---

[2025-10-05T22:26:45.049Z] Event: media
[2025-10-05T22:26:45.069Z] Event: media
[2025-10-05T22:26:45.089Z] Event: media
[2025-10-05T22:26:45.109Z] Event: media
[2025-10-05T22:26:45.129Z] Event: media
[2025-10-05T22:26:45.150Z] Event: media
[2025-10-05T22:26:45.176Z] Event: media
[2025-10-05T22:26:45.190Z] Event: media
[2025-10-05T22:26:45.211Z] Event: media
[2025-10-05T22:26:45.229Z] Event: media
[2025-10-05T22:26:45.249Z] Event: media
[2025-10-05T22:26:45.269Z] Event: media
[2025-10-05T22:26:45.289Z] Event: media
[2025-10-05T22:26:45.311Z] Event: media
[2025-10-05T22:26:45.330Z] Event: media
[2025-10-05T22:26:45.351Z] Event: media
[2025-10-05T22:26:45.372Z] Event: media
[2025-10-05T22:26:45.390Z] Event: media
[2025-10-05T22:26:45.409Z] Event: media
[2025-10-05T22:26:45.430Z] Event: media
[2025-10-05T22:26:45.449Z] Event: media
[2025-10-05T22:26:45.470Z] Event: media
[2025-10-05T22:26:45.489Z] Event: media
[2025-10-05T22:26:45.509Z] Event: media
[2025-10-05T22:26:45.529Z] Event: media
[2025-10-05T22:26:45.549Z] Event: media
[2025-10-05T22:26:45.569Z] Event: media
[2025-10-05T22:26:45.589Z] Event: media
[2025-10-05T22:26:45.609Z] Event: media
[2025-10-05T22:26:45.631Z] Event: media
[2025-10-05T22:26:45.649Z] Event: media
[2025-10-05T22:26:45.671Z] Event: media
[2025-10-05T22:26:45.690Z] Event: media
[2025-10-05T22:26:45.709Z] Event: media
[2025-10-05T22:26:45.729Z] Event: media
[2025-10-05T22:26:45.749Z] Event: media
[2025-10-05T22:26:45.769Z] Event: media
[2025-10-05T22:26:45.789Z] Event: media
[2025-10-05T22:26:45.809Z] Event: media
[2025-10-05T22:26:45.829Z] Event: media
[2025-10-05T22:26:45.850Z] Event: media
[2025-10-05T22:26:45.870Z] Event: media
[2025-10-05T22:26:45.889Z] Event: media
[2025-10-05T22:26:45.909Z] Event: media
[2025-10-05T22:26:45.930Z] Event: media
[2025-10-05T22:26:45.949Z] Event: media
[2025-10-05T22:26:45.969Z] Event: media
[2025-10-05T22:26:45.990Z] Event: media
[2025-10-05T22:26:46.009Z] Event: media
[2025-10-05T22:26:46.031Z] Event: media
[2025-10-05T22:26:46.049Z] Event: media
[2025-10-05T22:26:46.069Z] Event: media
[2025-10-05T22:26:46.089Z] Event: media
[2025-10-05T22:26:46.109Z] Event: media
[2025-10-05T22:26:46.130Z] Event: media
[2025-10-05T22:26:46.149Z] Event: media
[2025-10-05T22:26:46.169Z] Event: media
[2025-10-05T22:26:46.189Z] Event: media
[2025-10-05T22:26:46.210Z] Event: media
[2025-10-05T22:26:46.232Z] Event: media
[2025-10-05T22:26:46.250Z] Event: media
[2025-10-05T22:26:46.269Z] Event: media
[2025-10-05T22:26:46.290Z] Event: media
[2025-10-05T22:26:46.311Z] Event: media
[2025-10-05T22:26:46.329Z] Event: media
[2025-10-05T22:26:46.349Z] Event: media
[2025-10-05T22:26:46.369Z] Event: media
[2025-10-05T22:26:46.389Z] Event: media
[2025-10-05T22:26:46.410Z] Event: media
[2025-10-05T22:26:46.430Z] Event: media
[2025-10-05T22:26:46.449Z] Event: media
[2025-10-05T22:26:46.469Z] Event: media
[2025-10-05T22:26:46.492Z] Event: media
[2025-10-05T22:26:46.509Z] Event: media
[2025-10-05T22:26:46.529Z] Event: media
[2025-10-05T22:26:46.549Z] Event: media
[2025-10-05T22:26:46.569Z] Event: media
[2025-10-05T22:26:46.589Z] Event: media
[2025-10-05T22:26:46.609Z] Event: media
[2025-10-05T22:26:46.629Z] Event: media
[2025-10-05T22:26:46.649Z] Event: media
[2025-10-05T22:26:46.669Z] Event: media
[2025-10-05T22:26:46.689Z] Event: media
[2025-10-05T22:26:46.709Z] Event: media
[2025-10-05T22:26:46.729Z] Event: media
[2025-10-05T22:26:46.749Z] Event: media
[2025-10-05T22:26:46.769Z] Event: media
[2025-10-05T22:26:46.789Z] Event: media
[2025-10-05T22:26:46.809Z] Event: media
[2025-10-05T22:26:46.829Z] Event: media
[2025-10-05T22:26:46.849Z] Event: media
[2025-10-05T22:26:46.869Z] Event: media
[2025-10-05T22:26:46.889Z] Event: media
[2025-10-05T22:26:46.909Z] Event: media
[2025-10-05T22:26:46.929Z] Event: media
[2025-10-05T22:26:46.949Z] Event: media
[2025-10-05T22:26:46.969Z] Event: media
[2025-10-05T22:26:46.989Z] Event: media
[2025-10-05T22:26:47.009Z] Event: media
[2025-10-05T22:26:47.030Z] Event: media
[2025-10-05T22:26:47.049Z] Event: media
[2025-10-05T22:26:47.069Z] Event: media
[2025-10-05T22:26:47.089Z] Event: media
[2025-10-05T22:26:47.109Z] Event: media
[2025-10-05T22:26:47.129Z] Event: media
[2025-10-05T22:26:47.149Z] Event: media
[2025-10-05T22:26:47.169Z] Event: media
[2025-10-05T22:26:47.189Z] Event: media
[2025-10-05T22:26:47.209Z] Event: media
[2025-10-05T22:26:47.229Z] Event: media
[2025-10-05T22:26:47.251Z] Event: media
[2025-10-05T22:26:47.269Z] Event: media
[2025-10-05T22:26:47.289Z] Event: media
[2025-10-05T22:26:47.309Z] Event: media
[2025-10-05T22:26:47.331Z] Event: media
[2025-10-05T22:26:47.351Z] Event: media
[2025-10-05T22:26:47.369Z] Event: media
[2025-10-05T22:26:47.389Z] Event: media
[2025-10-05T22:26:47.409Z] Event: media
[2025-10-05T22:26:47.430Z] Event: media
[2025-10-05T22:26:47.449Z] Event: media
[2025-10-05T22:26:47.470Z] Event: media
[2025-10-05T22:26:47.489Z] Event: media
[2025-10-05T22:26:47.511Z] Event: media
[2025-10-05T22:26:47.530Z] Event: media
[2025-10-05T22:26:47.549Z] Event: media
[2025-10-05T22:26:47.572Z] Event: media
[2025-10-05T22:26:47.590Z] Event: media
[2025-10-05T22:26:47.609Z] Event: media
[2025-10-05T22:26:47.629Z] Event: media
[2025-10-05T22:26:47.649Z] Event: media
[2025-10-05T22:26:47.669Z] Event: media
[2025-10-05T22:26:47.689Z] Event: media
[2025-10-05T22:26:47.709Z] Event: media
[2025-10-05T22:26:47.729Z] Event: media
[2025-10-05T22:26:47.750Z] Event: media
[2025-10-05T22:26:47.769Z] Event: media
[2025-10-05T22:26:47.789Z] Event: media
[2025-10-05T22:26:47.809Z] Event: media
